Time	State	HighestNumUnavailable	HighestNumAvailable	WaitingForConnectionTotal	WaitingForConnectionSuccessTotal	WaitingForConnectionFailureTotal	WaitingForConnectionHighCount	WaitSecondsHighCount	CurrCapacityHighCount	ConnectionsTotalCount	LeakedConnectionCount	ReserveRequestCount	ActiveConnectionsHighCount	FailuresToReconnectCount	ActiveConnectionsCurrentCount	ActiveConnectionsAverageCount	WaitingForConnectionCurrentCount	NumUnavailable	NumAvailable	CurrCapacity
2009-03-02 00:00:00	Running	0	10	0	0	0	0	0	0	10	0	73764	3	0	0	0	0	0	10	10
2009-03-02 00:01:00	Running	0	10	0	0	0	0	0	0	10	0	73764	3	0	0	0	0	0	10	10
2009-03-02 00:02:00	Running	0	10	0	0	0	0	0	0	10	0	73765	3	0	0	0	0	0	10	10
2009-03-02 00:03:00	Running	0	10	0	0	0	0	0	0	10	0	73765	3	0	0	0	0	0	10	10
2009-03-02 00:04:01	Running	0	10	0	0	0	0	0	0	10	0	73766	3	0	0	0	0	0	10	10
2009-03-02 00:05:01	Running	0	10	0	0	0	0	0	0	10	0	73766	3	0	0	0	0	0	10	10
2009-03-02 00:06:01	Running	0	10	0	0	0	0	0	0	10	0	73767	3	0	0	0	0	0	10	10
2009-03-02 00:07:01	Running	0	10	0	0	0	0	0	0	10	0	73767	3	0	0	0	0	0	10	10
2009-03-02 00:08:01	Running	0	10	0	0	0	0	0	0	10	0	73768	3	0	0	0	0	0	10	10
2009-03-02 00:09:02	Running	0	10	0	0	0	0	0	0	10	0	73768	3	0	0	0	0	0	10	10
2009-03-02 00:10:02	Running	0	10	0	0	0	0	0	0	10	0	73769	3	0	0	0	0	0	10	10
2009-03-02 00:11:02	Running	0	10	0	0	0	0	0	0	10	0	73769	3	0	0	0	0	0	10	10
2009-03-02 00:12:02	Running	0	10	0	0	0	0	0	0	10	0	73770	3	0	0	0	0	0	10	10
2009-03-02 00:13:02	Running	0	10	0	0	0	0	0	0	10	0	73770	3	0	0	0	0	0	10	10
2009-03-02 00:14:00	Running	0	10	0	0	0	0	0	0	10	0	73771	3	0	0	0	0	0	10	10
